@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
80,'2017/03/27 17:19:48:166',2,0,0,0,0,0,0,0,?,?
81,'2017/03/27 17:19:48:182',2,0,0,0,0,0,0,0,?,?
82,'2017/03/27 17:19:48:205',2,0,0,0,0,0,0,0,?,?
83,'2017/03/27 17:19:48:227',2,0,0,0,0,0,0,0,?,?
84,'2017/03/27 17:19:48:242',2,0,0,0,0,0,0,0,?,?
85,'2017/03/27 17:19:48:264',2,0,0,0,0,0,0,0,?,?
86,'2017/03/27 17:19:48:286',2,0,0,0,0,0,0,0,?,?
87,'2017/03/27 17:19:48:302',2,0,0,0,0,0,0,0,?,?
88,'2017/03/27 17:19:48:325',2,0,0,0,0,0,0,0,?,?
89,'2017/03/27 17:19:48:346',2,0,0,0,0,0,0,0,?,?
90,'2017/03/27 17:19:48:362',2,0,0,0,0,0,0,0,?,?
91,'2017/03/27 17:19:48:384',2,0,0,0,0,0,0,0,?,?
92,'2017/03/27 17:19:48:406',2,0,0,0,0,0,0,0,?,?
93,'2017/03/27 17:19:48:422',2,0,0,0,0,0,0,0,?,?
94,'2017/03/27 17:19:48:444',2,0,0,0,0,0,0,0,?,?
95,'2017/03/27 17:19:48:466',2,0,0,0,0,0,0,0,?,?
96,'2017/03/27 17:19:48:482',2,0,0,0,0,0,0,0,?,?
97,'2017/03/27 17:19:48:505',2,0,0,0,0,0,0,0,?,?
98,'2017/03/27 17:19:48:526',2,0,0,0,0,0,0,0,?,?
99,'2017/03/27 17:19:48:542',2,0,0,0,0,0,0,0,?,?
100,'2017/03/27 17:19:48:565',2,0,0,0,0,0,0,0,?,?
101,'2017/03/27 17:19:48:587',2,0,0,0,0,0,0,0,?,?
102,'2017/03/27 17:19:48:602',2,0,0,0,0,0,0,0,?,?
103,'2017/03/27 17:19:48:625',2,0,0,0,0,0,0,0,?,?
104,'2017/03/27 17:19:48:647',2,0,0,0,0,0,0,0,?,?
105,'2017/03/27 17:19:48:662',2,0,0,0,0,0,0,0,?,?
106,'2017/03/27 17:19:48:684',2,0,0,0,0,0,0,0,?,?
107,'2017/03/27 17:19:48:707',2,0,0,0,0,0,0,0,?,?
108,'2017/03/27 17:19:48:722',2,0,0,0,0,0,0,0,?,?
109,'2017/03/27 17:19:48:744',2,0,0,0,0,0,0,0,?,?
110,'2017/03/27 17:19:48:767',2,0,0,0,0,0,0,0,?,?
111,'2017/03/27 17:19:48:781',2,0,0,0,0,0,0,0,?,?
112,'2017/03/27 17:19:48:804',2,0,0,0,0,0,0,0,?,?
113,'2017/03/27 17:19:48:827',2,0,0,0,0,0,0,0,?,?
114,'2017/03/27 17:19:48:842',2,0,0,0,0,0,0,0,?,?
115,'2017/03/27 17:19:48:864',2,0,0,0,0,0,0,0,?,?
116,'2017/03/27 17:19:48:888',2,0,0,0,0,0,0,0,?,?
117,'2017/03/27 17:19:48:901',2,0,0,0,0,0,0,0,?,?
118,'2017/03/27 17:19:48:924',2,0,0,0,0,0,0,0,?,?
119,'2017/03/27 17:19:48:947',2,0,0,0,0,0,0,0,?,?
120,'2017/03/27 17:19:48:961',2,0,0,0,0,0,0,0,?,?
121,'2017/03/27 17:19:48:984',2,0,0,0,0,0,0,0,?,?
122,'2017/03/27 17:19:49:007',2,0,0,0,0,0,0,0,?,?
123,'2017/03/27 17:19:49:022',2,0,0,0,0,0,0,0,?,?
124,'2017/03/27 17:19:49:045',2,0,0,0,0,0,0,0,?,?
125,'2017/03/27 17:19:49:067',2,0,0,0,0,0,0,0,?,?
126,'2017/03/27 17:19:49:088',2,0,0,0,0,0,0,0,?,?
127,'2017/03/27 17:19:49:105',2,0,0,0,0,0,0,0,?,?
128,'2017/03/27 17:19:49:127',2,0,0,0,0,0,0,0,?,?
129,'2017/03/27 17:19:49:148',2,0,0,0,0,0,0,0,?,?
